TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
78,LVINEW,CLASS13,CLASS13,nominal,,0,
79,LVINEW,CLASS14,CLASS14,nominal,,0,
80,LVINEW,CLASS15,CLASS15,nominal,,0,
81,LVINEW,CLASS16,CLASS16,nominal,,0,
82,LVINEW,CLASS17,CLASS17,nominal,,0,
83,LVINEW,CLASS18,CLASS18,nominal,,0,
84,LVINEW,CLASS19,CLASS19,nominal,,0,
85,LVINEW,CLASS20,CLASS20,nominal,,0,
86,LVINEW,CLASS21,CLASS21,nominal,,0,
87,LVINEW,CLASS22,CLASS22,nominal,,0,
88,LVINEW,CLASS23,CLASS23,nominal,,0,
89,LVINEW,CLASS24,CLASS24,nominal,,0,
90,LVINEW,CLASS25,CLASS25,nominal,,0,
91,LVINORM,LVI_FCOID,LVI_FCOID,integer,,0,
92,LVINORM,TopHt,TopHt,continuous,,0,
93,LVINORM,LnVolL,LnVolL,continuous,,0,
94,LVINORM,LnVolDF,LnVolDF,continuous,,0,
95,LVINORM,LnVolLP,LnVolLP,continuous,,0,
96,LVINORM,LnVolES,LnVolES,continuous,,1,
97,LVINORM,LnVolAF,LnVolAF,continuous,,0,
98,LVINORM,LnVolPP,LnVolPP,continuous,,0,
99,LVINORM,CCover,CCover,continuous,,0,
100,LVINORM,ctim,ctim,continuous,,0,
101,LVINORM,elevm,elevm,continuous,,0,
102,LVINORM,eevsqrd,eevsqrd,continuous,,0,
103,LVINORM,slopem,slopem,continuous,,0,
104,LVINORM,slpcosaspm,slpcosaspm,continuous,,0,
105,LVINORM,slpsinaspm,slpsinaspm,continuous,,0,
106,LVINORM,tmb1m,tmb1m,continuous,,0,
107,LVINORM,tmb2m,tmb2m,continuous,,0,
108,LVINORM,tmb3m,tmb3m,continuous,,0,
109,LVINORM,tmb4m,tmb4m,continuous,,0,
110,LVINORM,tmb5m,tmb5m,continuous,,0,
111,LVINORM,tmb6m,tmb6m,continuous,,0,
112,LVINORM,durm,durm,continuous,,0,
113,LVINORM,insom,insom,continuous,,0,
114,LVINORM,utmx,utmx,continuous,,0,
115,LVINORM,utmy,utmy,continuous,,0,
116,LVINORM,msavim,msavim,continuous,,0,
117,LVINORM,ndvim,ndvim,continuous,,0,
118,LVINORM,crvm,crvm,continuous,,0,
119,LVINORM,tancrvm,tancrvm,continuous,,0,
120,LVINORM,tancrvsd,tancrvsd,continuous,,0,
121,LVINORM,CLASS1,CLASS1,nominal,,0,
122,LVINORM,CLASS2,CLASS2,nominal,,0,
123,LVINORM,CLASS3,CLASS3,nominal,,0,
124,LVINORM,CLASS4,CLASS4,nominal,,0,
125,LVINORM,CLASS5,CLASS5,nominal,,0,
126,LVINORM,CLASS6,CLASS6,nominal,,0,
127,LVINORM,CLASS7,CLASS7,nominal,,0,
128,LVINORM,CLASS8,CLASS8,nominal,,0,
129,LVINORM,CLASS9,CLASS9,nominal,,0,
130,LVINORM,CLASS10,CLASS10,nominal,,0,
131,LVINORM,CLASS11,CLASS11,nominal,,0,
132,LVINORM,CLASS12,CLASS12,nominal,,0,
133,LVINORM,CLASS13,CLASS13,nominal,,0,
134,LVINORM,CLASS14,CLASS14,nominal,,0,
135,LVINORM,CLASS15,CLASS15,nominal,,0,
136,LVINORM,CLASS16,CLASS16,nominal,,0,
137,LVINORM,CLASS17,CLASS17,nominal,,0,
138,LVINORM,CLASS18,CLASS18,nominal,,0,
139,LVINORM,CLASS19,CLASS19,nominal,,0,
140,LVINORM,CLASS20,CLASS20,nominal,,0,
141,LVINORM,CLASS21,CLASS21,nominal,,0,
142,LVINORM,CLASS22,CLASS22,nominal,,0,
143,LVINORM,CLASS23,CLASS23,nominal,,0,
144,LVINORM,CLASS24,CLASS24,nominal,,0,
145,LVINORM,CLASS25,CLASS25,nominal,,0,
146,QTARGET,TFCOID,TFCOID,integer,,,
147,QTARGET,ctim,ctim,continuous,,0,
148,QTARGET,elevm,elevm,continuous,,0,
149,QTARGET,eevsqrd,eevsqrd,continuous,,0,
150,QTARGET,slopem,slopem,continuous,,0,
151,QTARGET,slpcosaspm,slpcosaspm,continuous,,0,
152,QTARGET,slpsinaspm,slpsinaspm,continuous,,0,
153,QTARGET,tmb1m,tmb1m,continuous,,0,
154,QTARGET,tmb2m,tmb2m,continuous,,0,
155,QTARGET,tmb3m,tmb3m,continuous,,0,
156,QTARGET,tmb4m,tmb4m,continuous,,0,
157,QTARGET,tmb5m,tmb5m,continuous,,0,
158,QTARGET,tmb6m,tmb6m,continuous,,0,
159,QTARGET,durm,durm,continuous,,0,
160,QTARGET,insom,insom,continuous,,0,
161,QTARGET,utmx,utmx,continuous,,0,
162,QTARGET,utmy,utmy,continuous,,0,
163,QTARGET,msavim,msavim,continuous,,0,
164,QTARGET,ndvim,ndvim,continuous,,0,
165,QTARGET,crvm,crvm,continuous,,0,
166,QTARGET,tancrvm,tancrvm,continuous,,0,
167,QTARGET,tancrvsd,tancrvsd,continuous,,0,
