Variable,Table,Type,Description
CLTOTUKP,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type UNKNOWN in total period in DRUID
FLDDGN,ANALYSIS_MUNICIPAL,float,floodplain design in DRUID
FLDDGNPROP,ANALYSIS_MUNICIPAL,float,floodplain design standard area weighted in DRUID
FLDP,ANALYSIS_MUNICIPAL,integer,presence of floodplain in DRUID
GAWHC,ANALYSIS_MUNICIPAL,float,available water holding capacity of soil in DRUID
GAWHC1,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 1 in DRUID
GAWHC2,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 2 in DRUID
GAWHC3,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 3 in DRUID
GAWHC4,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 4 in DRUID
GAWHC5,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 5 in DRUID
GAWHC6,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 6 in DRUID
GAWHC7,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 7 in DRUID
GAWHC8,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 8 in DRUID
GAWHC9,ANALYSIS_MUNICIPAL,integer,presence of available water holding capacity of soil type 9 in DRUID
GDRAIN1VR,ANALYSIS_MUNICIPAL,integer,presence of drainage class of soil type 1 in DRUID
GDRAIN2R,ANALYSIS_MUNICIPAL,integer,presence of drainage class of soil type 2 in DRUID
GDRAIN3W,ANALYSIS_MUNICIPAL,integer,presence of drainage class of soil type 3 in DRUID
GDRAIN4MW,ANALYSIS_MUNICIPAL,integer,presence of drainage class of soil type 4 in DRUID
GDRAIN5I,ANALYSIS_MUNICIPAL,integer,presence of drainage class of soil type 5 in DRUID
GDRAIN6P,ANALYSIS_MUNICIPAL,integer,presence of drainage class of soil type 6 in DRUID
GDRAIN7VP,ANALYSIS_MUNICIPAL,integer,presence of drainage class of soil type 7 in DRUID
GWTRTB1YB,ANALYSIS_MUNICIPAL,integer,presence of water table characteristics of soils type 1 in DRUID
GWTRTB2YG,ANALYSIS_MUNICIPAL,integer,presence of water table characteristics of soils type 2 in DRUID
GWTRTB3YN,ANALYSIS_MUNICIPAL,integer,presence of water table characteristics of soils type 3 in DRUID
GWTRTB4YU,ANALYSIS_MUNICIPAL,integer,presence of water table characteristics of soils type 4 in DRUID
GWTRTB5NO,ANALYSIS_MUNICIPAL,integer,presence of water table characteristics of soils type 5 in DRUID
HBNKCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest NHN BANK
HBNKCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest NHN BANK
HBNKCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a NHN BANK (yes:1 no:0)
HBNKCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a NHN BANK (yes:1 no:0)
HBNKCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a NHN BANK (yes:1 no:0)
HBNKCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a NHN BANK (yes:1 no:0)
HBNKCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a NHN BANK (yes:1 no:0)
HBNKCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a NHN BANK (yes:1 no:0)
HBNKCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a NHN BANK (yes:1 no:0)
HBNKCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a NHN BANK (yes:1 no:0)
HBNKCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a NHN BANK (yes:1 no:0)
HBNKCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a NHN BANK (yes:1 no:0)
HBNKEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest NHN BANK
HBNKEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest NHN BANK
HBNKP,ANALYSIS_MUNICIPAL,integer,presence of NHN BANK in DRUID
HCH050,ANALYSIS_MUNICIPAL,integer,the DRUID is within 0-50m of a NHN (yes:1 no:0)
HCH100,ANALYSIS_MUNICIPAL,integer,the DRUID is within 50-100m of a NHN (yes:1 no:0)
HCH200,ANALYSIS_MUNICIPAL,integer,the DRUID is within 100m-200m of a NHN (yes:1 no:0)
HCH500,ANALYSIS_MUNICIPAL,integer,the DRUID is within 200m-500m of a NHN (yes:1 no:0)
HCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID is >500m from a NHN (yes:1 no:0)
HSLWCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest NHN SLWATER
HSLWCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest NHN SLWATER
HSLWCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a NHN SLWATER (yes:1 no:0)
HSLWCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a NHN SLWATER (yes:1 no:0)
HSLWCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a NHN SLWATER (yes:1 no:0)
HSLWCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a NHN SLWATER (yes:1 no:0)
HSLWCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a NHN SLWATER (yes:1 no:0)
HSLWCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a NHN SLWATER (yes:1 no:0)
HSLWCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a NHN SLWATER (yes:1 no:0)
HSLWCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a NHN SLWATER (yes:1 no:0)
HSLWCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a NHN SLWATER (yes:1 no:0)
HSLWCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a NHN SLWATER (yes:1 no:0)
HSLWEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest NHN SLWATER
HSLWEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest NHN SLWATER
HSLWP,ANALYSIS_MUNICIPAL,integer,presence of NHN SLWATER in DRUID
ICH050,ANALYSIS_MUNICIPAL,integer,the DRUID is within 0-50m of a INFRASTRUCTURE (yes:1 no:0)
ICH100,ANALYSIS_MUNICIPAL,integer,the DRUID is within 50-100m of a INFRASTRUCTURE (yes:1 no:0)
ICH200,ANALYSIS_MUNICIPAL,integer,the DRUID is within 100m-200m of a INFRASTRUCTURE (yes:1 no:0)
ICH500,ANALYSIS_MUNICIPAL,integer,the DRUID is within 200m-500m of a INFRASTRUCTURE (yes:1 no:0)
ICH500P,ANALYSIS_MUNICIPAL,integer,the DRUID is >500m from a INFRASTRUCTURE (yes:1 no:0)
IOTHCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest OTHER INFRASTRUCTURE
IOTHCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest OTHER INFRASTRUCTURE
IOTHCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a OTHER INFRASTRUCTURE (yes:1 no:0)
IOTHEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest OTHER INFRASTRUCTURE
IOTHEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest OTHER INFRASTRUCTURE
IOTHP,ANALYSIS_MUNICIPAL,integer,presence of OTHER INFRASTRUCTURE in DRUID
ISAPCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest SANITARY PUMP
ISAPCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest SANITARY PUMP
ISAPCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a SANITARY PUMP (yes:1 no:0)
ISAPCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a SANITARY PUMP (yes:1 no:0)
ISAPCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a SANITARY PUMP (yes:1 no:0)
ISAPCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a SANITARY PUMP (yes:1 no:0)
ISAPCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a SANITARY PUMP (yes:1 no:0)
ISAPCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a SANITARY PUMP (yes:1 no:0)
ISAPCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a SANITARY PUMP (yes:1 no:0)
ISAPCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a SANITARY PUMP (yes:1 no:0)
ISAPCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a SANITARY PUMP (yes:1 no:0)
ISAPCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a SANITARY PUMP (yes:1 no:0)
ISAPEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest SANITARY PUMP
ISAPEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest SANITARY PUMP
ISAPP,ANALYSIS_MUNICIPAL,integer,presence of SANITARY PUMP in DRUID
ISTPCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest STORM PUMP
ISTPCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest STORM PUMP
ISTPCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a STORM PUMP (yes:1 no:0)
ISTPCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a STORM PUMP (yes:1 no:0)
ISTPCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a STORM PUMP (yes:1 no:0)
ISTPCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a STORM PUMP (yes:1 no:0)
ISTPCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a STORM PUMP (yes:1 no:0)
ISTPCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a STORM PUMP (yes:1 no:0)
ISTPCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a STORM PUMP (yes:1 no:0)
ISTPCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a STORM PUMP (yes:1 no:0)
ISTPCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a STORM PUMP (yes:1 no:0)
ISTPCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a STORM PUMP (yes:1 no:0)
ISTPEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest STORM PUMP
ISTPEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest STORM PUMP
ISTPP,ANALYSIS_MUNICIPAL,integer,presence of STORM PUMP in DRUID
ITRECDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest SANITARY TREATMENT
ITRECDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest SANITARY TREATMENT
ITRECH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a SANITARY TREATMENT (yes:1 no:0)
ITRECH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a SANITARY TREATMENT (yes:1 no:0)
ITRECH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a SANITARY TREATMENT (yes:1 no:0)
ITRECH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a SANITARY TREATMENT (yes:1 no:0)
ITRECH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a SANITARY TREATMENT (yes:1 no:0)
ITRECV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a SANITARY TREATMENT (yes:1 no:0)
ITRECV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a SANITARY TREATMENT (yes:1 no:0)
ITRECV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a SANITARY TREATMENT (yes:1 no:0)
ITRECV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a SANITARY TREATMENT (yes:1 no:0)
ITRECVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a SANITARY TREATMENT (yes:1 no:0)
ITREEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest SANITARY TREATMENT
ITREEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest SANITARY TREATMENT
ITREP,ANALYSIS_MUNICIPAL,integer,presence of SANITARY TREATMENT in DRUID
L000,ANALYSIS_MUNICIPAL,float,
L001,ANALYSIS_MUNICIPAL,float,
L002,ANALYSIS_MUNICIPAL,float,
L020,ANALYSIS_MUNICIPAL,float,
L030,ANALYSIS_MUNICIPAL,float,
L032,ANALYSIS_MUNICIPAL,float,
L033,ANALYSIS_MUNICIPAL,float,
L034,ANALYSIS_MUNICIPAL,float,
L035,ANALYSIS_MUNICIPAL,float,
L036,ANALYSIS_MUNICIPAL,float,
L037,ANALYSIS_MUNICIPAL,float,
L038,ANALYSIS_MUNICIPAL,float,
L039,ANALYSIS_MUNICIPAL,float,
L040,ANALYSIS_MUNICIPAL,float,
L041,ANALYSIS_MUNICIPAL,float,
L042,ANALYSIS_MUNICIPAL,float,
L047,ANALYSIS_MUNICIPAL,float,
L049,ANALYSIS_MUNICIPAL,float,
L050,ANALYSIS_MUNICIPAL,float,
L051,ANALYSIS_MUNICIPAL,float,
L052,ANALYSIS_MUNICIPAL,float,
L053,ANALYSIS_MUNICIPAL,float,
L054,ANALYSIS_MUNICIPAL,float,
L055,ANALYSIS_MUNICIPAL,float,
L056,ANALYSIS_MUNICIPAL,float,
L057,ANALYSIS_MUNICIPAL,float,
L058,ANALYSIS_MUNICIPAL,float,
L059,ANALYSIS_MUNICIPAL,float,
L060,ANALYSIS_MUNICIPAL,float,
L061,ANALYSIS_MUNICIPAL,float,
L062,ANALYSIS_MUNICIPAL,float,
L063,ANALYSIS_MUNICIPAL,float,
L070,ANALYSIS_MUNICIPAL,float,
L110,ANALYSIS_MUNICIPAL,float,
L111,ANALYSIS_MUNICIPAL,float,
L120,ANALYSIS_MUNICIPAL,float,
L121,ANALYSIS_MUNICIPAL,float,
L130,ANALYSIS_MUNICIPAL,float,
L131,ANALYSIS_MUNICIPAL,float,
L140,ANALYSIS_MUNICIPAL,float,
L141,ANALYSIS_MUNICIPAL,float,
L150,ANALYSIS_MUNICIPAL,float,
L151,ANALYSIS_MUNICIPAL,float,
L160,ANALYSIS_MUNICIPAL,float,
L161,ANALYSIS_MUNICIPAL,float,
L170,ANALYSIS_MUNICIPAL,float,
L171,ANALYSIS_MUNICIPAL,float,
L180,ANALYSIS_MUNICIPAL,float,
L181,ANALYSIS_MUNICIPAL,float,
L190,ANALYSIS_MUNICIPAL,float,
L191,ANALYSIS_MUNICIPAL,float,
L200,ANALYSIS_MUNICIPAL,float,
L201,ANALYSIS_MUNICIPAL,float,
L202,ANALYSIS_MUNICIPAL,float,
L203,ANALYSIS_MUNICIPAL,float,
L204,ANALYSIS_MUNICIPAL,float,
L205,ANALYSIS_MUNICIPAL,float,
L206,ANALYSIS_MUNICIPAL,float,
L208,ANALYSIS_MUNICIPAL,float,
L209,ANALYSIS_MUNICIPAL,float,
L210,ANALYSIS_MUNICIPAL,float,
L211,ANALYSIS_MUNICIPAL,float,
L212,ANALYSIS_MUNICIPAL,float,
L213,ANALYSIS_MUNICIPAL,float,
L214,ANALYSIS_MUNICIPAL,float,
L215,ANALYSIS_MUNICIPAL,float,
L216,ANALYSIS_MUNICIPAL,float,
L217,ANALYSIS_MUNICIPAL,float,
L218,ANALYSIS_MUNICIPAL,float,
L219,ANALYSIS_MUNICIPAL,float,
L220,ANALYSIS_MUNICIPAL,float,
L222,ANALYSIS_MUNICIPAL,float,
L224,ANALYSIS_MUNICIPAL,float,
L225,ANALYSIS_MUNICIPAL,float,
L226,ANALYSIS_MUNICIPAL,float,
L227,ANALYSIS_MUNICIPAL,float,
L228,ANALYSIS_MUNICIPAL,float,
L230,ANALYSIS_MUNICIPAL,float,
L232,ANALYSIS_MUNICIPAL,float,
L233,ANALYSIS_MUNICIPAL,float,
L234,ANALYSIS_MUNICIPAL,float,
L236,ANALYSIS_MUNICIPAL,float,
L237,ANALYSIS_MUNICIPAL,float,
L238,ANALYSIS_MUNICIPAL,float,
L239,ANALYSIS_MUNICIPAL,float,
L240,ANALYSIS_MUNICIPAL,float,
L250,ANALYSIS_MUNICIPAL,float,
L252,ANALYSIS_MUNICIPAL,float,
L254,ANALYSIS_MUNICIPAL,float,
L256,ANALYSIS_MUNICIPAL,float,
L257,ANALYSIS_MUNICIPAL,float,
L258,ANALYSIS_MUNICIPAL,float,
L260,ANALYSIS_MUNICIPAL,float,
L262,ANALYSIS_MUNICIPAL,float,
L266,ANALYSIS_MUNICIPAL,float,
L270,ANALYSIS_MUNICIPAL,float,
L272,ANALYSIS_MUNICIPAL,float,
L273,ANALYSIS_MUNICIPAL,float,
L274,ANALYSIS_MUNICIPAL,float,
L275,ANALYSIS_MUNICIPAL,float,
L276,ANALYSIS_MUNICIPAL,float,
L280,ANALYSIS_MUNICIPAL,float,
L284,ANALYSIS_MUNICIPAL,float,
L285,ANALYSIS_MUNICIPAL,float,
L286,ANALYSIS_MUNICIPAL,float,
L287,ANALYSIS_MUNICIPAL,float,
L288,ANALYSIS_MUNICIPAL,float,
L300,ANALYSIS_MUNICIPAL,float,
L400,ANALYSIS_MUNICIPAL,float,
L401,ANALYSIS_MUNICIPAL,float,
L402,ANALYSIS_MUNICIPAL,float,
L403,ANALYSIS_MUNICIPAL,float,
L404,ANALYSIS_MUNICIPAL,float,
L405,ANALYSIS_MUNICIPAL,float,
L406,ANALYSIS_MUNICIPAL,float,
L407,ANALYSIS_MUNICIPAL,float,
L408,ANALYSIS_MUNICIPAL,float,
L409,ANALYSIS_MUNICIPAL,float,
L410,ANALYSIS_MUNICIPAL,float,
L412,ANALYSIS_MUNICIPAL,float,
L413,ANALYSIS_MUNICIPAL,float,
L414,ANALYSIS_MUNICIPAL,float,
L415,ANALYSIS_MUNICIPAL,float,
L416,ANALYSIS_MUNICIPAL,float,
L417,ANALYSIS_MUNICIPAL,float,
L418,ANALYSIS_MUNICIPAL,float,
L419,ANALYSIS_MUNICIPAL,float,
L420,ANALYSIS_MUNICIPAL,float,
L421,ANALYSIS_MUNICIPAL,float,
L424,ANALYSIS_MUNICIPAL,float,
L425,ANALYSIS_MUNICIPAL,float,
L426,ANALYSIS_MUNICIPAL,float,
L427,ANALYSIS_MUNICIPAL,float,
L429,ANALYSIS_MUNICIPAL,float,
L430,ANALYSIS_MUNICIPAL,float,
L431,ANALYSIS_MUNICIPAL,float,
L432,ANALYSIS_MUNICIPAL,float,
L433,ANALYSIS_MUNICIPAL,float,
L434,ANALYSIS_MUNICIPAL,float,
L435,ANALYSIS_MUNICIPAL,float,
L436,ANALYSIS_MUNICIPAL,float,
L437,ANALYSIS_MUNICIPAL,float,
L438,ANALYSIS_MUNICIPAL,float,
L440,ANALYSIS_MUNICIPAL,float,
L442,ANALYSIS_MUNICIPAL,float,
L443,ANALYSIS_MUNICIPAL,float,
L444,ANALYSIS_MUNICIPAL,float,
L445,ANALYSIS_MUNICIPAL,float,
L446,ANALYSIS_MUNICIPAL,float,
L447,ANALYSIS_MUNICIPAL,float,
L448,ANALYSIS_MUNICIPAL,float,
L449,ANALYSIS_MUNICIPAL,float,
L450,ANALYSIS_MUNICIPAL,float,
L452,ANALYSIS_MUNICIPAL,float,
L454,ANALYSIS_MUNICIPAL,float,
L456,ANALYSIS_MUNICIPAL,float,
L458,ANALYSIS_MUNICIPAL,float,
L460,ANALYSIS_MUNICIPAL,float,
L462,ANALYSIS_MUNICIPAL,float,
